shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
fcc07952-5da0-4344-aa13-e6cfe723656e,37.2296011286736,-80.4212691140931,141,6506.96
0ae66fcd-b23c-4891-b510-c8a474b41982,37.2310776848243,-80.416608775652,4,229.01
a25b57dd-ddc3-49e9-bc5d-956f709442eb,37.167494575232,-80.4272356884024,141,9768.88
51481b8d-dcd5-447a-b06c-7df6be3571c6,37.2187958490131,-80.4532839628031,75,3764.31
20b39863-2db9-4014-9d04-237b2f1bc1be,37.2268169955502,-80.4257819310297,10,403.24
9f8a2852-98a5-45fd-917b-8e31ba66860c,37.2298076587801,-80.4281865315548,92,3973.39
fa4b8b82-f026-4c32-a7b0-9f258e7f2cc9,37.1637381412827,-80.4222588492786,224,12937.52
51481b8d-dcd5-447a-b06c-7df6be3571c6,37.2269725636824,-80.425894583815,184,8362.25
1327e202-79fd-4bfc-9b07-91089ed9f814,37.2178986500441,-80.4017775000201,40,2368.46
8488832b-cbf2-4ec8-8e31-85e4068c78a8,37.2114398903513,-80.3996894001776,148,6353.58
5f53cea9-3adb-4da3-891e-48c3ae5cf8d2,37.212293,-80.424193,87,3507.63
59d7c53c-fafa-4c5a-9840-bfa25ae03451,37.2344532450708,-80.4212248576418,28,1161.14
b164a63b-0a08-49cf-a4b0-38d9065ad3e4,37.2275478975504,-80.4396905267054,76,4031.39
822c6443-c856-45db-b645-16f04692cedb,37.2553932520981,-80.4135899492258,71,3854.02
9862e5d8-5942-4691-a103-3a1123d132f0,37.2432817365695,-80.4220000160932,108,4684.66
b2d2e351-0605-44f1-a9ff-22334b9a86c8,37.2309516209931,-80.4214930785592,178,9930.67
0446bbaf-909f-4b61-9154-3c47264af370,37.2313982088207,-80.4292460041789,173,7752.52
8d30ce30-c37c-41d0-a157-fb762a29a89a,37.2396004044771,-80.3984743594214,74,3250.08
0ae66fcd-b23c-4891-b510-c8a474b41982,37.2311983842372,-80.4217693461042,95,4410.09
bc10d5d6-a28a-4e07-84d2-f11d152562a4,37.1974883793287,-80.4005517304272,96,6190.26
20b39863-2db9-4014-9d04-237b2f1bc1be,37.2271308140237,-80.4244596019065,4,210.04
eb802992-f6a3-41d9-b1be-64a865871d09,37.1986041783454,-80.400923216398,9,231.92
fa4b8b82-f026-4c32-a7b0-9f258e7f2cc9,37.1660971442519,-80.4227496935576,254,14826.79
fa4b8b82-f026-4c32-a7b0-9f258e7f2cc9,37.2307061988536,-80.4172270248668,1,160.32
a25b57dd-ddc3-49e9-bc5d-956f709442eb,37.1617170966695,-80.4257336512645,213,12260.12
602ae1e9-3c7b-4bbf-92f8-22a6ba919378,37.2264294163245,-80.4252763346002,10,320.19
1327e202-79fd-4bfc-9b07-91089ed9f814,37.2024196208966,-80.399405086005,67,4122.59
